Gene_ID,MS_logFC
ENSMUSG00000015165,-0.239463782
ENSMUSG00000015176,-0.383748414
ENSMUSG00000015214,0.994053968
ENSMUSG00000015247,-0.664654441
ENSMUSG00000015290,0.296762826
ENSMUSG00000015401,0.874968266
ENSMUSG00000015405,0.190161126
ENSMUSG00000015568,-1.355004057
ENSMUSG00000015656,0.501018057
ENSMUSG00000015747,0.524550815
ENSMUSG00000015749,-0.611466986
ENSMUSG00000015889,0.436604735
ENSMUSG00000015937,-0.487675254
ENSMUSG00000016018,0.369322786
ENSMUSG00000016253,0.39331109
ENSMUSG00000016256,1.210605573
ENSMUSG00000016382,0.406140332
ENSMUSG00000016481,0.835470576
ENSMUSG00000016494,0.780140555
ENSMUSG00000016534,-0.595091914
ENSMUSG00000016541,0.650920916
ENSMUSG00000016933,0.548487746
ENSMUSG00000017188,-0.271065021
ENSMUSG00000017316,0.58374282
ENSMUSG00000017390,1.634364835
ENSMUSG00000017697,0.381602219
ENSMUSG00000017774,0.549351735
ENSMUSG00000017843,0.501697123
ENSMUSG00000017943,0.725704521
ENSMUSG00000018042,-0.415149585
ENSMUSG00000018199,-0.727699342
ENSMUSG00000018293,0.403559905
ENSMUSG00000018322,0.724684945
ENSMUSG00000018379,-0.342165557
ENSMUSG00000018395,0.362439145
ENSMUSG00000018411,0.949360919
ENSMUSG00000018417,0.775792377
ENSMUSG00000018446,-0.72202676
ENSMUSG00000018541,0.774651062
ENSMUSG00000018574,0.385186555
ENSMUSG00000018583,0.576194727
ENSMUSG00000018659,0.668088247
ENSMUSG00000018666,-0.310270979
ENSMUSG00000018672,-0.510845105
ENSMUSG00000018761,1.070000245
ENSMUSG00000018765,0.552843757
ENSMUSG00000018796,0.311209175
ENSMUSG00000018830,1.233177314
ENSMUSG00000018848,0.726881639
ENSMUSG00000018974,0.480460702
ENSMUSG00000018995,-0.561592089
ENSMUSG00000019066,-0.779787887
ENSMUSG00000019143,-0.388311603
ENSMUSG00000019179,-0.526514613
ENSMUSG00000019428,-0.512189995
ENSMUSG00000019494,0.336434032
ENSMUSG00000019579,-0.383715277
ENSMUSG00000019790,0.351993654
ENSMUSG00000019791,-1.013642882
ENSMUSG00000019810,0.515393158
ENSMUSG00000019822,0.528988656
ENSMUSG00000019852,-0.548970092
ENSMUSG00000019864,-0.662830879
ENSMUSG00000019907,0.396357678
ENSMUSG00000019916,0.401969242
ENSMUSG00000019920,0.483039471
ENSMUSG00000019961,-0.557508
ENSMUSG00000019961,-0.429814025
ENSMUSG00000019984,0.651125516
ENSMUSG00000020018,-0.08754799
ENSMUSG00000020070,-0.291272519
ENSMUSG00000020075,0.30158255
ENSMUSG00000020078,0.254325128
ENSMUSG00000020079,-0.374045785
ENSMUSG00000020085,0.767693979
ENSMUSG00000020086,-0.124607463
ENSMUSG00000020097,-0.425182841
ENSMUSG00000020132,-0.370335496
ENSMUSG00000020166,-1.178225419
ENSMUSG00000020180,-0.142000438
ENSMUSG00000020182,0.47886171
ENSMUSG00000020219,-0.434996418
ENSMUSG00000020241,3.393630455
ENSMUSG00000020256,-1.50744879
ENSMUSG00000020260,-0.50460881
ENSMUSG00000020328,-0.130493686
ENSMUSG00000020358,-0.563289933
ENSMUSG00000020368,-0.562405148
ENSMUSG00000020375,0.355218614
ENSMUSG00000020376,0.519182704
ENSMUSG00000020386,-0.603591276
ENSMUSG00000020412,0.462605951
ENSMUSG00000020432,1.134546474
ENSMUSG00000020440,-0.412103971
ENSMUSG00000020456,-0.477417345
ENSMUSG00000020457,0.317106151
ENSMUSG00000020514,-1.382655309
ENSMUSG00000020532,0.381287583
ENSMUSG00000020537,0.587476209
ENSMUSG00000020541,1.174933797
ENSMUSG00000020571,-0.390415936
ENSMUSG00000020593,1.323663905
ENSMUSG00000020605,-0.223309621
ENSMUSG00000020609,0.514874157
ENSMUSG00000020611,-0.398646462
ENSMUSG00000020612,-0.548854433
ENSMUSG00000020621,0.554026974
ENSMUSG00000020650,0.872319425
ENSMUSG00000020671,-0.379410402
ENSMUSG00000020732,-0.404688397
ENSMUSG00000020736,1.02397544
ENSMUSG00000020740,0.294791757
ENSMUSG00000020745,-0.429573662
ENSMUSG00000020775,1.09181289
ENSMUSG00000020802,-0.220476569
ENSMUSG00000020827,0.736741241
ENSMUSG00000020840,0.529831396
ENSMUSG00000020841,-0.619863469
ENSMUSG00000020847,-0.848675221
ENSMUSG00000020849,-0.388510641
ENSMUSG00000020857,-0.316325024
ENSMUSG00000020859,0.494293495
ENSMUSG00000020877,1.133657583
ENSMUSG00000020883,0.740419409
ENSMUSG00000020894,-0.685580068
ENSMUSG00000020899,-0.714374966
ENSMUSG00000020903,0.304567451
ENSMUSG00000020911,1.700359457
ENSMUSG00000020917,-0.688092731
ENSMUSG00000020923,-0.266805833
ENSMUSG00000020936,0.400302302
ENSMUSG00000020946,-0.310103365
ENSMUSG00000020954,-0.214455014
ENSMUSG00000020956,0.225020633
ENSMUSG00000020982,0.268568492
ENSMUSG00000020986,-0.270748412
ENSMUSG00000020988,-0.683697036
ENSMUSG00000020993,0.357780759
ENSMUSG00000021003,-0.318074438
ENSMUSG00000021033,1.09166251
ENSMUSG00000021037,0.896866571
ENSMUSG00000021044,-0.398931892
ENSMUSG00000021048,-0.581761287
ENSMUSG00000021062,-0.69118362
ENSMUSG00000021096,-0.414763846
ENSMUSG00000021102,-0.431527099
ENSMUSG00000021116,0.202177996
ENSMUSG00000021124,0.177113276
ENSMUSG00000021134,-0.252734717
ENSMUSG00000021144,0.362631416
ENSMUSG00000021147,0.337512873
ENSMUSG00000021178,0.296653492
ENSMUSG00000021190,1.391361465
ENSMUSG00000021192,0.488761998
ENSMUSG00000021193,-0.75464671
ENSMUSG00000021194,-0.925930926
ENSMUSG00000021196,1.089262338
ENSMUSG00000021238,-0.4293498
ENSMUSG00000021266,0.420592552
ENSMUSG00000021270,0.593144736
ENSMUSG00000021282,-0.383815497
ENSMUSG00000021314,0.494809262
ENSMUSG00000021340,0.494348201
ENSMUSG00000021371,-0.590000165
ENSMUSG00000021377,-0.355834996
ENSMUSG00000021460,-0.3735859
ENSMUSG00000021464,0.358880237
ENSMUSG00000021468,0.394460074
ENSMUSG00000021476,-1.919788249
ENSMUSG00000021484,-0.610414505
ENSMUSG00000021496,-0.474784207
ENSMUSG00000021546,-0.293626375
ENSMUSG00000021577,-0.400546704
ENSMUSG00000021585,1.130849833
ENSMUSG00000021587,-1.049810472
ENSMUSG00000021591,-0.307426369
ENSMUSG00000021595,-0.255123453
ENSMUSG00000021610,-0.494093672
ENSMUSG00000021646,-0.467408685
ENSMUSG00000021665,0.483675775
ENSMUSG00000021676,0.252374038
ENSMUSG00000021687,-0.838604027
ENSMUSG00000021693,0.663983867
ENSMUSG00000021715,0.790944577
ENSMUSG00000021748,-0.592957687
ENSMUSG00000021773,0.202318678
ENSMUSG00000021786,-0.414644842
ENSMUSG00000021792,0.493791102
ENSMUSG00000021794,-0.481523546
ENSMUSG00000021816,0.978023195
ENSMUSG00000021823,0.840126108
ENSMUSG00000021843,0.781640913
ENSMUSG00000021866,1.504801363
