Gene_ID,Control_1,Control_2,Control_3,KO_1,KO_2,KO_3
ENSMUSG00000025912,48.283424,105.43536,93.32581,132.44077,164.24648,287.5859
ENSMUSG00000045210,1332.5721,2509.513,2625.4766,2621.3472,2856.4937,3875.0662
ENSMUSG00000097893,233.49939,265.4386,397.0078,179.19913,176.60652,291.61804
ENSMUSG00000025915,809.41675,946.71454,919.5764,1147.9995,1179.2708,1302.417
ENSMUSG00000046334,5,3,3,7,4,9
ENSMUSG00000088916,1.9344863,0,0,0,0.17275938,0
ENSMUSG00000046101,48.802475,88.607025,90.03245,59.61097,72.24293,62.339947
ENSMUSG00000098234,383.35263,330.4587,382.56808,333.75793,456.11008,432.57733
ENSMUSG00000093178,1.7160764,2.8511062,2.779937,2.4279618,1.1523179,2.3046358
ENSMUSG00000099032,542.83966,704.00256,584.55457,1489.6847,1479.3685,1189.4629
ENSMUSG00000104025,20.566225,24.454985,27.056292,19.456964,14.802118,14.327348
ENSMUSG00000025916,125.54305,104.456085,96.85598,142.459,239.71002,157.59062
ENSMUSG00000087199,1.5944543,1.0773811,0,0.9189297,0,1.0157175
ENSMUSG00000095780,0,0,0,0,0,0
ENSMUSG00000025917,2213.1423,1975.9438,2340.4167,2965.5566,3433.7815,3760.0725
ENSMUSG00000056763,2724.427,3227.5198,3697.3374,2791.6057,2524.4233,2376.1748
ENSMUSG00000102356,0,4,6,0,0,0
ENSMUSG00000067851,5388.3755,9467.575,10876.574,8769.985,9509.258,8763.175
ENSMUSG00000088153,2,0.02,0,2,2.463576,0.03311258
ENSMUSG00000102556,0,4,5.5538464,0,5,4
ENSMUSG00000042501,93.33334,154,161.99998,125,70.5,99.33334
ENSMUSG00000103810,4,0,6,0,4,0
ENSMUSG00000083422,0,0,2,0,0,0
ENSMUSG00000094979,0,0,0,0,0,0
ENSMUSG00000081417,1.5827814,4,2,7.4437084,3.2119205,1.06
ENSMUSG00000103448,0,0,0,0,0,0
ENSMUSG00000100212,0,0,0,0,0,0
ENSMUSG00000100648,0,2,0,0,0,0
ENSMUSG00000088585,0,0,0,0,0,0
ENSMUSG00000048960,89,131.66667,244.29944,222.62,267,214.26315
ENSMUSG00000077318,0,0,0,0,0,0
ENSMUSG00000101827,0,0,0,0,0,0
ENSMUSG00000103494,0,4,4,2,0,2
ENSMUSG00000057715,39.000008,59.499996,56.000004,69.000015,96,131.47984
ENSMUSG00000103825,0,4,9,2,0,5
ENSMUSG00000099845,0,0,0,0,0,0
ENSMUSG00000103561,0,0,0,0,0,0
ENSMUSG00000101610,0,0,0,0,0,0
ENSMUSG00000093864,0,0,0,0,0,0
ENSMUSG00000098555,0,0,0,0,0,0
ENSMUSG00000097628,0,0,0,0,0,0
ENSMUSG00000098163,0,0,0,0,0,0
ENSMUSG00000097171,79.8666,147.06653,154.03305,84.833275,79.96663,87.4
ENSMUSG00000101314,0,0,0,0,0,0
ENSMUSG00000016918,48.999992,117,138.81335,298.99997,186.00008,181.55634
ENSMUSG00000025938,18,71.4579,81.516556,79.398895,52.923813,63.562912
ENSMUSG00000104518,0,0,0,0,0,0
ENSMUSG00000069620,0,0,0,0,0,0
ENSMUSG00000099498,0,0,0,0,0,0
ENSMUSG00000042414,3.794702,24,8,12,21.576159,5.0000005
ENSMUSG00000005886,2441.8923,4601.6597,5057.559,4374.0503,4429.287,4833.868
ENSMUSG00000103506,12,16.780352,16.573334,5.4367814,7.0405407,6.97351
ENSMUSG00000103495,8.386667,11.841059,8,4,6,0
ENSMUSG00000099183,0,0,0,0,0,0
ENSMUSG00000102639,0,2.2266667,1.2171303,0,0,0
ENSMUSG00000104170,8,18,2,8,5.5206614,2
ENSMUSG00000087782,0.17880794,0.9238298,1.3539073,0,1.1847682,1.1518966
ENSMUSG00000103085,30.5,65.2381,50.33775,26.400002,15.355143,33.33333
ENSMUSG00000102664,6,20,6,8,12,8
ENSMUSG00000101476,6.6019773,5.4054055,2.5512583,0.59611475,0,0
ENSMUSG00000101171,0,6,2,2,2,2
ENSMUSG00000025935,11740.126,14096.523,17105.926,10968.975,12412.793,11149.352
ENSMUSG00000025937,2113.7139,2310.352,2444.9426,2424.6099,2443.2957,2339.7202
ENSMUSG00000102982,25,22.387857,41.51766,12.666666,20.462915,48.5
ENSMUSG00000067813,2,6,4,0,0,4
ENSMUSG00000077368,0,0,0,0,0,0
ENSMUSG00000097711,4,0,4,0,0,0
ENSMUSG00000102166,0,0,0,0,0,0
ENSMUSG00000089358,0,0,0,0,0,0
ENSMUSG00000104209,0,0,0,0,0,0
ENSMUSG00000025932,591.5994,796.73517,811.444,830.88513,808.05835,598.2079
ENSMUSG00000095853,0,0,0,0,0,0
ENSMUSG00000102588,0,0,1,0.91333336,0,0
ENSMUSG00000054493,0,1,0,2.4558823,3,0
ENSMUSG00000025930,4,1,2,18.45588,14.788079,14
ENSMUSG00000103492,0,1,0,2,0,0
ENSMUSG00000081201,287.53265,219.97469,281.69916,258.98193,349.50113,290.02588
ENSMUSG00000082193,2391.1777,1894.2482,2123.7334,1980.9628,2552.8057,2438.733
ENSMUSG00000032769,45.922836,59.958687,58,40.918373,66.000015,61.979023
ENSMUSG00000088159,0,0,0,0,0,0
ENSMUSG00000073737,2,0,12,2,6,14.5
ENSMUSG00000092083,331.9793,630.6765,727.01685,518.6981,667.94147,512.1686
ENSMUSG00000102937,0,4.180319,4,2,4,2
ENSMUSG00000104149,124.33334,181.41998,202.66663,97.500015,112.16667,92.5
ENSMUSG00000088829,0,0.25827813,0,0,0,0.8344371
ENSMUSG00000077377,0,0,0,0,0,0
ENSMUSG00000101652,0,0,0,1.448521,0,0
ENSMUSG00000100814,0,0,0,0,0,0
ENSMUSG00000025925,544.67676,492.2693,498.21603,946.22833,854.7192,1169.5908
ENSMUSG00000104379,13,12.844371,20.413641,5,8.178808,7.866667
ENSMUSG00000032719,3,3.5,7.089007,3,5.847682,1
ENSMUSG00000088943,0,0,0,0,0,0
ENSMUSG00000100652,0,0,0,0,0,0
