Gene_ID,Ex.Control_1,Ex.Control_2,Ex.Control_3,Ex.KO_1,Ex.KO_2,Ex.KO_3,In.Control_1,In.Control_2,In.Control_3,In.KO_1,In.KO_2,In.KO_3
ENSMUSG00000036158,845.9162,1216.6078,1338.0205,1707.4666,1441.2493,1765.5875,987,1469,1243,986,815,673
ENSMUSG00000050705,1478.0985,1566.9236,1611.4388,2663.942,2210.168,3245.325,106,71,97,96,62,68
ENSMUSG00000027809,1633.7219,1647.028,1933.3778,3100.7512,2922.42,3952.12,129,168,167,111,147,144
ENSMUSG00000020936,2817.7834,3416.97,3886.77,4467.915,4750.4863,5423.3525,359,565,625,292,347,366
ENSMUSG00000034450,14,20,12.059281,312.8835,171.05952,337.93164,2,6,2,26,15,40
ENSMUSG00000024339,1373.7467,1747.018,2202.8328,3096.591,3540.7246,5575.727,334,496,553,482,513,433
ENSMUSG00000050786,353.9793,408.41724,413.33777,453.96603,440.25766,634.14667,26,46,56,24,29,20
ENSMUSG00000026171,1206.2384,1319.5889,1438.8851,2429.2625,2251.782,3063.074,393,483,536,404,428,421
ENSMUSG00000002458,173.29129,234.1302,255.62152,560.42377,525.84357,651.8589,12,28,24,25,31,19
ENSMUSG00000028799,927.8347,992.5007,1019.5266,1873.9103,1447.0326,1993.9941,252,492,448,339,335,278
ENSMUSG00000021948,544.70685,754.8446,820.245,1618.2219,1185.7825,1707.3347,76,151,139,118,119,112
ENSMUSG00000036073,463.8074,457.29837,534.3398,813.18695,736.51483,1215.8834,39,38,40,36,24,42
ENSMUSG00000021541,13.98318,55.95946,66.76303,42,71.42804,87.15318,34,68,112,44,55,42
ENSMUSG00000028631,390.95288,480.2466,582.3064,627.3385,512.96814,626.59674,328,588,415,294,238,209
ENSMUSG00000006585,83.39441,111.42955,90.884705,161.47179,138.10236,199.13844,12,20,15,15,15,7
ENSMUSG00000044252,921.5979,1021.31366,1101.5054,1929.2711,1756.2682,1987.2389,318,470,415,359,324,338
ENSMUSG00000001999,465.8876,398.47284,373.0259,687.57916,685.92755,665.70013,108,107,126,89,101,67
ENSMUSG00000058503,701.5732,764.18134,745.6909,602.5439,663.70593,659.2599,41,36,56,20,17,16
ENSMUSG00000021868,732.3507,745.82214,847.5042,1129.9507,1112.5826,1426.3389,38,77,60,23,48,51
ENSMUSG00000066306,7419.656,10977.717,11123.077,16886.645,13417.013,17087.238,1082,1815,2081,1185,1267,1141
ENSMUSG00000028066,171.90579,195.13272,213.86104,296.99014,275.7689,293.2682,32,24,50,25,33,15
ENSMUSG00000040929,1155.0792,2135.0093,2231.4475,1930.0232,2182.4185,2051.254,819,1229,1270,678,601,441
ENSMUSG00000026155,865.52045,1399.6158,1623.8201,1806.0203,1739.871,2427.199,231,508,603,275,300,334
ENSMUSG00000056952,913.73987,1108.3016,1357.3735,1143.186,1234.2499,1291.4922,68,63,53,39,30,27
ENSMUSG00000020124,2447.0115,2874.6958,3228.7363,3856.1897,4098.551,4750.6743,521,1253,1527,645,746,727
ENSMUSG00000040624,115.0323,254.50873,426.81073,609.07947,486.89618,889.8307,30,78,132,84,55,124
ENSMUSG00000025899,231.64786,473.6939,480.70862,664.07587,607.0369,802.26263,91,178,176,149,99,105
ENSMUSG00000020961,115.351555,367.91934,458.3256,537.457,496.71112,608.2388,158,162,157,132,162,115
ENSMUSG00000028744,356.30243,475.12375,486.6225,636.7722,528.13245,637.3246,276,273,289,167,206,168
ENSMUSG00000025265,306.95633,564.36475,545.8823,721.5046,656.7479,926.5182,381,536,702,337,465,394
ENSMUSG00000029687,197.57066,259.42453,263.04968,335.59494,305.2048,364.49167,56,130,127,45,68,79
ENSMUSG00000005803,2549.9158,2410.4534,2968.5203,3465.3308,3572.5093,4309.577,212,275,221,167,154,146
ENSMUSG00000037843,4963.8403,3469.0588,4064.6985,4851.214,4047.9072,4377.31,970,830,775,534,494,270
ENSMUSG00000019470,2106.6353,2239.9832,2557.1584,4261.343,3695.2734,5173.8667,159,145,368,201,200,168
ENSMUSG00000029291,4074.9963,4253.1997,4295.6675,5847.437,4874.564,5622.431,909,1292,994,794,693,422
ENSMUSG00000002372,3515.4692,3194.2588,3635.2737,5465.436,4473.0215,5823.41,1000,1447,1475,1063,865,763
ENSMUSG00000028672,974.7634,957.22003,930.2818,1759.8752,1431.879,2016.7981,422,547,341,329,386,388
ENSMUSG00000021710,311.2769,452.6161,469.80536,1016.4933,864.1715,1282.8588,75,136,153,164,115,138
ENSMUSG00000045598,724.4936,853.35114,1015.7274,717.93335,696.5626,848.74005,14,20,22,6,8,8
ENSMUSG00000036686,1285.5305,1561.7363,1895.4825,3380.9333,2722.0786,4209.115,155,174,270,203,191,198
ENSMUSG00000024413,1071.2936,1740.8303,1802.1744,2497.3782,1892.9218,2770.6826,110,134,166,131,100,64
ENSMUSG00000037536,1176.5361,1437.2278,1687.8546,1777.5723,1892.9454,2276.2385,173,312,333,169,147,189
ENSMUSG00000030539,1910.9335,2543.4492,2700.975,3003.1226,2808.8477,3296.2056,260,409,257,156,226,166
ENSMUSG00000019774,358.93552,315.9766,478.0747,403.70554,502.12573,509.667,124,119,266,82,107,92
ENSMUSG00000031626,5285.459,8254.8,9772.66,12912.518,10637.551,12533.526,1543,3130,3600,2255,1898,1601
ENSMUSG00000067242,1363.9972,1489.4425,1518.112,2927.3447,2484.1248,2442.4631,206,365,387,301,299,172
ENSMUSG00000059027,48,78.55735,46.340813,110.58371,109.62611,59.14639,10,14,9,12,10,3
ENSMUSG00000019984,1494.2554,2300.8525,2306.2866,3295.2336,3066.5596,4097.5625,324,631,721,433,411,433
ENSMUSG00000037260,1624.4167,1952.9391,2152.971,2333.5713,2341.8337,3248.0486,219,430,360,164,267,192
ENSMUSG00000026925,993.69855,1229.6398,1303.4764,1901.8203,1564.7703,1897.8002,139,196,343,165,160,134
ENSMUSG00000024797,1471.0472,1954.7008,2035.9167,2778.5383,2459.4365,3004.685,141,207,166,118,110,130
ENSMUSG00000063160,779.5184,1093.7672,1077.3789,1419.5559,1116.9175,1553.3159,35,55,85,40,36,32
ENSMUSG00000031948,3564.7566,3804.23,4703.522,5774.68,5271.642,6545.7056,142,218,193,87,142,138
ENSMUSG00000027305,315.82233,315.46936,294.9086,457.90564,455.80023,562.7776,68,72,66,67,40,45
ENSMUSG00000033417,1973.914,2802.07,3151.9905,3172.9421,3210.823,3591.3464,247,497,521,238,253,223
ENSMUSG00000025790,848.56586,1240.8066,1269.0454,1673.8702,1803.0836,1903.0809,530,955,874,603,582,532
ENSMUSG00000103421,272.3689,232.50186,355.04083,469.3768,396.33875,525.9638,102,114,174,108,90,89
ENSMUSG00000085315,93.65343,101.14998,77.08284,129.62036,117.70263,104.57358,50,80,35,31,42,26
ENSMUSG00000014243,548.2388,546.0364,487.1425,1033.0742,1094.5201,1185.9529,546,738,698,694,618,573
ENSMUSG00000007038,4053.7683,4170.866,5094.168,5084.5986,5382.949,6284.8457,42,40,58,25,27,29
ENSMUSG00000026156,695.7553,718.0164,825.1308,918.1476,922.37317,1281.9786,185,140,222,136,122,99
ENSMUSG00000050029,376.55896,526.3245,632.0096,703.29395,695.2642,842.7899,46,78,94,49,51,44
ENSMUSG00000004568,1318.0085,1882.7504,2033.5791,3051.4336,2666.8752,3329.5332,183,248,222,166,173,186
ENSMUSG00000017188,3374.2842,3274.3171,3455.273,4055.439,4214.8887,4435.378,51,72,84,37,48,32
ENSMUSG00000009566,708.3686,782.4017,860.5844,1090.0409,1046.216,1388.3301,148,231,261,143,180,108
ENSMUSG00000043858,1633.9978,1787.9962,2181.6729,2254.3958,2266.5657,2833.3625,1166,1426,1188,821,814,693
ENSMUSG00000005699,547.1269,522.1345,610.39355,612.23285,641.6865,823.11426,80,64,66,37,38,48
ENSMUSG00000027932,192.36826,188.85951,155.75504,210.27556,213.09761,178.96866,78,79,79,50,34,39
ENSMUSG00000022685,1686.6187,1915.6156,2257.0415,2879.1357,2546.9163,2885.8552,491,974,952,521,518,495
ENSMUSG00000024302,84,102,122.96257,915.16785,585.11554,1242.074,28,44,64,160,150,226
ENSMUSG00000007908,668.6565,664.55084,852.8585,1114.936,1109.2963,1338.9181,311,599,448,359,290,349
ENSMUSG00000020514,617.53864,579.0494,468.32117,1060.6763,929.5246,1301.4425,158,134,119,134,130,118
ENSMUSG00000032519,511.82877,542.3733,554.4835,556.5862,564.69006,741.2234,51,72,63,34,39,25
ENSMUSG00000056749,1103.5176,850.6446,2139.1375,991.06555,742,1662.7374,130,158,468,117,76,81
ENSMUSG00000013846,866.4577,1179.5748,1428.3905,1189.4558,1080.9716,1381.4653,20,52,53,11,26,21
ENSMUSG00000005299,2203.0542,2328.4624,2555.3718,3595.0496,3165.2979,3912.146,137,341,271,155,182,160
ENSMUSG00000028069,416.5175,309.325,367.90323,785.4569,509.70886,725.366,43,125,193,93,115,72
ENSMUSG00000040667,2660.4768,2989.3384,3326.9038,4802.6943,4772.7925,6164.229,191,273,260,143,208,227
ENSMUSG00000057411,1531.8159,1353.3978,1382.4501,1694.4205,1814.3066,2082.7317,413,434,400,210,330,220
ENSMUSG00000031672,3982.9497,4479.9697,5157.703,7283.6875,6539.567,7716.4863,167,184,253,127,145,167
ENSMUSG00000087141,1138.5872,1800.2999,2016.8214,1822.2937,1895.6249,2002.8647,88,212,142,104,76,53
ENSMUSG00000031767,1499.9468,1955.0449,1606.0511,2724.1392,3376.8425,3001.5603,732,1324,816,793,993,587
ENSMUSG00000044005,76.937294,86.567154,109.505455,82.36957,84.603874,207.36754,62,65,119,51,35,64
ENSMUSG00000026343,262.0537,277.79794,335.23944,439.14062,377.17044,550.76935,335,386,378,286,280,234
ENSMUSG00000028059,3332.3154,4958.009,5368.6504,9864.609,7873.528,10746.676,411,587,626,618,456,490
ENSMUSG00000020230,917.81476,1052.4111,1101.4844,2034.5801,1992.7397,3192.7551,125,166,176,128,210,160
ENSMUSG00000026627,4812.233,4564.975,4939.654,4960.37,4565.302,4966.5737,509,691,692,332,337,208
ENSMUSG00000050605,762.31305,789.74646,1532.4012,818.4578,898.85425,1387.1478,38,71,76,23,28,33
ENSMUSG00000030134,133.32957,125.7152,157.49667,435.04868,396.04108,565.1065,36,101,75,113,72,126
ENSMUSG00000029859,70.77574,72.375435,81.04558,311.8,244.89507,432.85886,40,34,25,45,58,105
ENSMUSG00000049536,1224.7009,720.6871,849.173,1286.3528,1361.0454,1342.7206,10,12,23,10,14,4
ENSMUSG00000032735,52.055172,47.979458,84.251625,326.23944,226.55145,312.8765,13,20,45,61,42,60
ENSMUSG00000038160,1387.0994,1215.202,1522.2451,1589.1344,1852.6074,1805.0449,112,248,210,82,129,110
ENSMUSG00000026087,1906.0201,1523.1561,1714.9124,1703.8135,2176.3845,2149.718,64,55,82,39,30,39
ENSMUSG00000024043,27.038097,30,74,65.71918,81.64053,97.145035,36,22,36,17,31,38
ENSMUSG00000028545,243.99998,198.05632,214.64265,380.63766,342.0624,538.9018,68,87,71,55,71,71
ENSMUSG00000037710,2534.5574,2263.478,2354.835,2687.2834,2794.4062,3005.499,58,60,48,20,59,14
ENSMUSG00000031634,2794.0725,2862.2378,3000.1748,3590.8835,3921.1777,4093.7288,464,732,861,418,456,362
ENSMUSG00000021418,197.82979,264.68652,279.5535,357.9997,312.31073,359.65137,22,32,29,8,21,24
ENSMUSG00000027285,587.5204,683.0723,819.5331,874.08606,890.70605,1015.6585,26,45,51,19,24,30
ENSMUSG00000028680,2625.6687,2720.712,3531.2817,3270.2017,3076.144,2896.4277,492,449,801,290,343,214
ENSMUSG00000041360,1313.388,1484.0209,1749.7543,2056.9565,1992.9153,2498.5376,222,291,377,206,214,165
ENSMUSG00000020153,2599.5205,2376.2292,2731.0679,4133.6436,3891.5693,5169.404,171,190,202,154,143,147
ENSMUSG00000022557,1225.4883,1373.5414,1459.298,1416.3588,1440.6466,1780.2379,120,222,193,87,100,88
ENSMUSG00000021094,1932.0399,2177.0518,2778.3545,3889.7888,3695.692,5107.8413,76,112,110,86,94,72
ENSMUSG00000025545,202.14693,249.60695,377.7396,600.5852,524.8779,734.4637,139,308,304,245,208,303
ENSMUSG00000033703,433.11234,475.20233,557.12695,717.961,707.1773,860.3395,112,143,175,73,108,125
ENSMUSG00000017299,1098.0901,913.63416,1076.6428,1947.3662,1702.53,2192.4434,459,729,854,602,557,557
